Project Code,Project Title,Status,Current Stage,Domain,Start Date,Close Date,Budget,Employee,Priority,Date,addempcount
AV2941,Physics and Biological Sciences Room Swap,Closed,Close,Front-end Developer,01-07-2021,30-09-2021,"$16,649.99 ",13,Cost,_,1
TEL076,Support and Guidance for Teams for Teaching,Closed,Close,Database,29-06-2021,30-06-2022,"$17,394.99 ",15,Duration,_,2
LTW010,Hybrid Classroom 21/22,Closed,Close,Back-end Developer,23-06-2021,30-06-2022,"$16,986.36 ",12,Duration,_,4
PMO005,User Acceptance Testing (UAT) Guidance,Closed,Close,Front-end Developer,23-06-2021,20-08-2021,"$16,710.97 ",8,Duration,_,3
CSG019,IRM Onboarding for Social Responsibility and Sustainability,Closed,Execute,Back-end Developer,22-06-2021,21-01-2022,"$17,544.60 ",7,Cost,_,1
PMO004,WIS Review,Closed,Close,Back-end Developer,21-06-2021,20-08-2021,"$18,969.99 ",5,Cost,_,5
DLIB009,Digital Skills Capacity for Library Staff,Suspended,Plan,Database,18-06-2021,30-06-2022,"$19,405.01 ",15,Duration,_,6
COM058,Qlik-Sense and Qlikview Annual Upgrade,Withdrawn,Initiate,Front-end Developer,01-06-2021,20-09-2021,"$18,684.05 ",6,Duration,_,1
AV2936,Easter Bush Dissection Observation Room,Closed,Close,Back-end Developer,01-06-2021,30-09-2021,"$18,429.33 ",15,Duration,_,2
AV2939,CMVM - AV Upgrades 2020-21,Closed,Close,Database,01-06-2021,31-12-2021,"$16,300.00 ",10,Cost,_,5
EST134,Building Energy Management System (BEMS) Server Upgrade,Closed,Close,Back-end Developer,26-05-2021,31-08-2021,"$15,841.68 ",15,Duration,_,6
USD027,Helpline Integration,In Progress,Initiate,Front-end Developer,24-05-2021,26-08-2021,"$12,972.00 ",9,Duration,_,1
DTSU001,Sustainable Printing - Fleet Consolidation,In Progress,Initiate,Database,24-05-2021,25-07-2021,"$15,307.00 ",14,Duration,_,2
MVM530,Cataloguing CMVM IS Services ,Closed,Close,Back-end Developer,17-05-2021,12-05-2022,"$13,986.46 ",15,Cost,_,4
MVM529,Enabling CMVM Rooms for Hybrid Meetings ,In Progress,Deliver,Front-end Developer,06-05-2021,30-09-2022,"$14,268.75 ",13,Duration,_,3
WPS010,Personalisation within Portal,In Progress,Execute,Back-end Developer,04-05-2021,19-08-2021,"$16,099.00 ",15,Duration,_,1
AV2934,University Health Service AV,Closed,Close,Database,03-05-2021,30-07-2021,"$14,754.62 ",12,Duration,_,5
EDIP0252,Bono Greenhouse Gas Removal,Withdrawn,Close,Back-end Developer,03-05-2021,30-04-2021,"$13,985.89 ",8,Cost,_,6
AV2930,Hybrid Level 4 Test Spaces,Withdrawn,Initiate,Front-end Developer,03-05-2021,30-07-2021,"$14,700.03 ",7,Duration,_,1
AV2925,CSE - College Office Hybrid Meeting Rooms,Withdrawn,Analyse,Database,03-05-2021,30-07-2021,"$12,577.57 ",5,Duration,_,2
AV2928,Ashworth Labs 85/88 - remove/reinstate,Closed,Close,Front-end Developer,01-05-2021,29-10-2021,"$14,010.00 ",15,Duration,_,5
AV2933,SoEngineering Room Upgrades 2021,Closed,Close,Back-end Developer,01-05-2021,31-12-2021,"$13,076.52 ",6,Cost,_,6
AV2935,SoMaths Room Upgrades 2021,Closed,Close,Database,01-05-2021,30-09-2021,"$13,709.71 ",15,Duration,_,1
AV2931,Hybrid Level 1 - Additional 1m SD Spaces,Withdrawn,Build,Back-end Developer,01-05-2021,30-09-2021,"$15,126.02 ",10,Duration,_,2
AV2932,Education - Hybridising Holyrood 2021,Suspended,Build,Front-end Developer,01-05-2021,30-09-2021,"$14,522.26 ",15,Duration,_,4
SCE019,Requirements for Discussion Boards in SCE,Closed,Close,Database,30-04-2021,11-11-2021,"$16,275.00 ",9,Cost,_,3
DAT304,Bayes Hot Desking,Closed,Close,Front-end Developer,26-04-2021,11-08-2021,"$16,893.18 ",14,Duration,_,1
DLIB008,DAMS Implementation,Closed,Close,Back-end Developer,23-04-2021,23-06-2022,"$16,145.28 ",15,Cost,_,5
MOOC040,Live at COP26,Closed,Close,Database,23-04-2021,17-12-2021,"$14,900.83 ",13,Duration,_,6
WPS009,Replace EdWeb Infrastructure,Closed,Close,Back-end Developer,16-04-2021,02-09-2021,"$14,969.98 ",15,Cost,_,1
RSS302,Research Infrastructure Refresh 20-21,Closed,Close,Front-end Developer,12-04-2021,02-02-2022,"$14,525.00 ",12,Duration,_,2
P0347,Transition resources,Not Started,Initiate,Database,08-04-2021,09-07-2012,"$13,900.42 ",8,Cost,_,5
AV2927,IGMM Meeting Rooms SG.03 & C3.02,Closed,Close,Back-end Developer,08-04-2021,30-07-2021,"$13,580.01 ",7,Duration,_,6
AV2922,IGMM Expansion,Suspended,Design,Front-end Developer,01-04-2021,15-09-2023,"$14,309.69 ",5,Duration,_,1
LUC056,UCF insurance claim project,In Progress,Build,Back-end Developer,01-04-2021,14-02-2024,"$13,397.98 ",15,Duration,_,2
RIS018,Worktribe Upgrade v2021.1,Closed,Close,Database,01-04-2021,17-06-2021,"$14,100.00 ",6,Cost,_,4
DLIB007,Access to All: GLAM Data and API Service,In Progress,Execute,Front-end Developer,01-04-2021,23-12-2022,"$12,068.29 ",15,Duration,_,3
COM060,MFA Rollout for O365 Email,Withdrawn,Close,Back-end Developer,01-04-2021,15-06-2022,"$10,367.91 ",10,Cost,_,1
HRS099,HESA staff return - 20/21,Withdrawn,Initiate,Database,01-04-2021,12-11-2021,"$11,751.16 ",15,Duration,_,5
ISG020,IT and Library Business Service Readiness for Start of Term 2021/22,Closed,Close,Front-end Developer,29-03-2021,03-12-2021,"$11,650.01 ",9,Cost,_,6
AV2926,Chrystal McMillan - Hybrid Spaces,Closed,Close,Back-end Developer,29-03-2021,31-08-2022,"$12,830.01 ",14,Duration,_,1
DTI057,EventsAir - Embed and Optimise,Closed,Close,Database,26-03-2021,13-05-2022,"$11,311.86 ",15,Cost,_,2
LUC041,Community Connector: At Home with Heritage,Closed,Close,Back-end Developer,21-03-2021,31-07-2022,"$10,549.01 ",13,Duration,_,5
USG018,Mapping International Data Transfer,Closed,Close,Front-end Developer,15-03-2021,21-10-2021,"$11,308.73 ",15,Cost,_,6
USG017,Clearing 2021,Closed,Close,Database,15-03-2021,24-09-2021,"$11,033.26 ",12,Duration,_,1
MVM146,MBChB Supported Student Database,Closed,Close,Back-end Developer,12-03-2021,22-06-2021,"$10,875.02 ",8,Cost,_,2
IDR305,Azure Governance and Operations,In Progress,Execute,Front-end Developer,08-03-2021,30-09-2022,"$11,091.00 ",7,Duration,_,4
WPS008,Web Publishing Platform Implementation,In Progress,Execute,Back-end Developer,08-03-2021,14-04-2023,"$11,480.00 ",5,Cost,_,3
ACS043,Delivered Catering Implementation,In Progress,Execute,Back-end Developer,08-03-2021,30-09-2022,"$11,425.99 ",15,Duration,_,1
LUC052,"Exploring and scoping the Polar archival collections of William Speirs Bruce, the 1872-1876 expedition of HMS Challenger",Closed,Close,Database,01-03-2021,31-08-2021,"$11,082.29 ",6,Cost,_,5
LUC053,"One Health: human responsibility for animal health and welfare in Scotland, 1840-present",In Progress,Execute,Front-end Developer,01-03-2021,29-09-2023,"$10,366.01 ",15,Duration,_,6
LUC055,Adam Smith Library/EFI internships,Closed,Close,Back-end Developer,01-03-2021,01-09-2021,"$9,962.49 ",10,Duration,_,1
